ID,Idade,Sexo,InstEnsi,Jogou,Console,TDeUso,Prazer_1,Prazer_2,Prazer_3,Prazer_4,Prazer_5,Prazer_6,Prazer_7,Prazer_8,Facil_1,Facil_2,Facil_3,Facil_4,Facil_5,Facil_6,Utilid_1,Utilid_2,Utilid_3,Utilid_4,Desejo_1,Desejo_2,Desejo_3,Desejo_4,Intens_1,Intens_2,Intens_3,UsoAt_1,UsoAt_2,UsoLik_1,UsoLik_2
111,19,1,1,2,0,13,5,4,5,4,5,5,5,4,2,4,4,4,3,5,5,4,4,2,4,4,3,4,4,1,1,2,10,2,2
112,23,1,0,1,0,0,5,2,4,2,4,4,3,3,1,1,4,2,4,4,4,3,4,2,2,2,2,4,4,2,2,0,0,1,1
113,18,1,1,2,0,5,5,3,5,4,5,5,4,4,1,3,4,4,4,4,3,5,5,4,4,5,5,5,3,4,3,2,12,2,3
114,22,1,1,2,0,2,4,2,4,1,4,4,5,4,1,1,4,1,4,2,2,2,4,2,4,5,2,5,4,3,4,1,2,2,2
115,23,1,1,2,0,8,4,2,4,4,5,5,5,3,1,4,4,4,4,5,4,2,4,5,5,4,5,5,5,4,3,0,0,1,1
116,21,0,1,1,0,5,5,3,5,4,4,4,4,4,2,4,4,5,4,4,3,5,5,3,5,4,4,5,4,3,5,2,14,2,3
117,18,0,1,1,0,3,5,5,5,4,5,5,5,3,2,4,4,2,3,5,4,5,5,4,3,3,2,4,4,1,3,3,2,3,2
118,22,1,1,2,0,10,4,4,4,3,5,5,5,3,1,5,4,4,4,5,4,4,5,5,2,4,4,4,3,2,5,0,0,1,1
119,21,1,1,2,0,3,5,4,5,4,5,5,5,3,2,4,3,4,3,5,3,5,5,3,4,5,4,5,4,3,5,4,10,3,2
120,20,0,0,1,0,2,4,3,4,2,3,4,4,5,1,4,4,4,4,4,2,3,3,2,4,4,4,4,4,4,4,3,8,3,2
121,24,1,1,2,0,4,4,3,4,3,5,5,4,5,2,3,4,4,4,2,3,3,4,3,3,4,3,4,3,1,3,4,10,3,2
122,22,1,1,1,0,3,5,5,4,2,2,3,3,5,1,4,5,3,5,5,1,1,2,3,5,5,3,5,5,1,3,5,12,3,3
123,22,0,1,2,0,6,5,4,3,2,1,1,1,1,2,4,1,4,4,5,1,3,3,2,5,4,5,5,2,5,3,0,0,1,1
124,21,1,1,1,0,2,4,3,2,1,3,3,5,4,1,3,4,2,3,4,2,4,4,3,1,2,4,3,2,2,2,0,0,1,1
125,27,1,1,2,0,6,2,1,4,1,1,4,5,1,1,3,2,3,3,5,1,1,4,1,1,4,1,3,3,1,5,3,8,3,2
126,21,1,1,2,0,8,3,1,4,1,3,4,4,3,2,3,3,2,3,4,5,5,4,3,2,4,3,2,5,1,2,2,4,2,2
127,22,1,1,2,0,10,3,3,2,1,4,4,2,3,1,5,5,3,4,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
128,18,1,0,2,0,13,4,3,4,1,4,5,5,3,1,3,1,4,4,5,2,4,4,1,3,4,4,4,3,1,4,3,6,3,2
129,19,1,1,2,0,10,5,3,5,4,4,4,3,4,1,3,4,3,4,4,5,3,4,3,3,4,4,4,4,5,5,1,5,2,2
130,17,1,1,1,0,3,4,2,4,3,4,4,4,3,2,3,2,3,3,5,2,2,3,2,4,3,4,4,5,1,3,0,0,1,1
131,25,0,0,1,0,8,3,2,5,4,4,5,5,3,1,4,4,5,5,5,3,3,5,3,4,5,3,5,4,1,5,0,0,1,1
132,18,1,0,2,0,1,5,2,5,1,3,3,4,4,2,4,5,3,4,3,1,2,3,1,2,1,1,1,3,1,1,0,0,1,1
133,22,1,1,3,0,10,4,2,4,3,4,4,5,2,1,1,3,2,4,4,3,3,4,3,2,4,4,4,5,3,3,7,10,4,2
134,18,0,1,1,0,7,4,4,3,3,4,5,5,3,3,3,2,3,2,5,2,2,4,3,2,4,5,5,4,1,5,4,8,3,2
135,21,1,1,1,0,9,3,2,4,4,5,3,5,2,1,2,4,3,3,5,3,3,4,2,3,4,1,4,5,1,5,0,0,1,1
136,22,1,1,2,0,5,5,3,5,3,5,5,5,3,1,4,4,5,5,3,4,4,5,4,5,5,4,5,5,2,4,4,12,3,3
137,24,1,0,1,0,0,4,4,2,1,2,2,3,5,1,5,2,4,2,2,1,4,3,1,1,3,1,1,1,1,1,0,0,1,1
